LLAMA3-8B	GT	LLAMA3-8B-Article-model
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-78	CWE-77	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-434	CWE-434	CWE-434
CWE-89	CWE-89	CWE-89
CWE-502	CWE-502	CWE-502
CWE-601	CWE-918	CWE-601
CWE-113	CWE-918	CWE-113
CWE-200	CWE-200	CWE-200
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-918	CWE-918	CWE-918
CWE-228	CWE-79	CWE-228
CWE-269	CWE-622	CWE-269
CWE-259	CWE-622	CWE-259
CWE-255	CWE-670	CWE-255
CWE-79	CWE-79	CWE-79
CWE-78	CWE-98	CWE-78
CWE-665	CWE-460	CWE-665
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-93	CWE-601	CWE-601
CWE-80	CWE-79	CWE-80
CWE-120	CWE-787	CWE-120
CWE-125	CWE-125	CWE-125
CWE-310	CWE-327	CWE-310
CWE-285	CWE-862	CWE-285
CWE-78	CWE-77	CWE-78
CWE-322	CWE-20	CWE-322
CWE-284	CWE-284	CWE-284
CWE-119	CWE-120	CWE-119
CWE-119	CWE-200	CWE-119
CWE-22	CWE-22	CWE-22
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-770	CWE-521	CWE-770
CWE-400	CWE-400	CWE-400
CWE-614	CWE-614	CWE-614
CWE-388	CWE-613	CWE-388
CWE-287	CWE-384	CWE-287
CWE-434	CWE-434	CWE-434
CWE-306	CWE-269	CWE-269
CWE-22	CWE-22	CWE-22
CWE-89	CWE-89	CWE-89
CWE-287	CWE-284	CWE-287
CWE-89	CWE-89	CWE-89
CWE-284	CWE-284	CWE-284
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-601	CWE-639	CWE-639
CWE-269	CWE-862	CWE-269
CWE-306	CWE-862	CWE-306
CWE-685	CWE-862	CWE-685
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-20	CWE-441	CWE-441
CWE-89	CWE-89	CWE-89
CWE-321	CWE-798	CWE-321
CWE-264	CWE-862	CWE-264
CWE-20	CWE-20	CWE-20
CWE-800	CWE-362	CWE-800
CWE-20	CWE-94	CWE-20
CWE-78	CWE-78	CWE-78
CWE-22	CWE-22	CWE-22
CWE-918	CWE-918	CWE-918
CWE-939	CWE-915	CWE-939
CWE-89	CWE-89	CWE-89
CWE-26	CWE-22	CWE-26
CWE-16	CWE-158	CWE-16
CWE-20	CWE-787	CWE-20
CWE-862	CWE-284	CWE-862
CWE-284	CWE-284	CWE-284
CWE-284	CWE-284	CWE-284
CWE-284	CWE-284	CWE-284
CWE-284	CWE-284	CWE-284
CWE-284	CWE-284	CWE-284
CWE-22	CWE-24	CWE-22
CWE-22	CWE-24	CWE-22
CWE-400	CWE-404	CWE-400
CWE-400	CWE-404	CWE-400
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-254	CWE-640	CWE-254
CWE-89	CWE-89	CWE-89
CWE-352	CWE-352	CWE-352
CWE-20	CWE-119	CWE-20
CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79
CWE-200	CWE-764	CWE-200
CWE-287	CWE-269	CWE-287
CWE-200	CWE-918	CWE-200
CWE-665	CWE-668	CWE-665
CWE-122	CWE-121	CWE-122
CWE-119	CWE-787	CWE-119
CWE-80	CWE-79	CWE-79
CWE-699	CWE-405	CWE-699
CWE-269	CWE-290	CWE-269
CWE-269	CWE-918	CWE-269
CWE-285	CWE-285	CWE-285
CWE-20	CWE-89	CWE-20
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-22	CWE-24	CWE-22
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-78	CWE-434	CWE-78
CWE-89	CWE-89	CWE-89
CWE-94	CWE-89	CWE-94
CWE-89	CWE-89	CWE-89
CWE-20	CWE-200	CWE-20
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-200	CWE-200	CWE-200
CWE-617	CWE-640	CWE-617
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-22	CWE-434	CWE-22
CWE-78	CWE-77	CWE-78
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-79
CWE-601	CWE-918	CWE-601
CWE-352	CWE-352	CWE-352
CWE-125	CWE-787	CWE-125
CWE-476	CWE-843	CWE-843
CWE-122	CWE-787	CWE-122
CWE-78	CWE-23	CWE-78
CWE-94	CWE-94	CWE-94
CWE-352	CWE-352	CWE-352
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-121	CWE-787	CWE-121
CWE-120	CWE-787	CWE-787
CWE-121	CWE-787	CWE-121
CWE-123	CWE-787	CWE-123
CWE-120	CWE-121	CWE-120
CWE-121	CWE-787	CWE-121
CWE-120	CWE-787	CWE-120
CWE-119	CWE-787	CWE-119
CWE-121	CWE-787	CWE-787
CWE-120	CWE-787	CWE-120
CWE-120	CWE-787	CWE-120
CWE-120	CWE-787	CWE-120
CWE-89	CWE-89	CWE-89
CWE-601	CWE-601	CWE-601
CWE-400	CWE-404	CWE-400
CWE-400	CWE-404	CWE-404
CWE-400	CWE-404	CWE-400
CWE-22	CWE-23	CWE-22
CWE-798	CWE-23	CWE-798
CWE-269	CWE-284	CWE-269
CWE-78	CWE-74	CWE-74
CWE-321	CWE-203	CWE-321
CWE-664	CWE-79	CWE-664
CWE-352	CWE-352	CWE-352
CWE-521	CWE-261	CWE-261
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-248	CWE-280	CWE-248
CWE-614	CWE-416	CWE-614
CWE-400	CWE-400	CWE-400
CWE-532	CWE-203	CWE-532
CWE-125	CWE-191	CWE-125
CWE-400	CWE-347	CWE-400
CWE-287	CWE-287	CWE-287
CWE-200	CWE-862	CWE-200
CWE-284	CWE-862	CWE-284
CWE-121	CWE-121	CWE-121
CWE-121	CWE-121	CWE-121
CWE-119	CWE-121	CWE-119
CWE-121	CWE-121	CWE-121
CWE-121	CWE-121	CWE-121
CWE-120	CWE-121	CWE-120
CWE-119	CWE-121	CWE-119
CWE-120	CWE-121	CWE-120
CWE-94	CWE-77	CWE-77
CWE-672	CWE-639	CWE-672
CWE-400	CWE-400	CWE-400
CWE-401	CWE-416	CWE-401
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-862	CWE-862	CWE-862
CWE-306	CWE-862	CWE-306
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-440	CWE-918	CWE-918
CWE-502	CWE-502	CWE-502
CWE-79	CWE-362	CWE-79
CWE-80	CWE-79	CWE-80
CWE-787	CWE-229	CWE-787
CWE-80	CWE-79	CWE-80
CWE-22	CWE-862	CWE-22
CWE-89	CWE-79	CWE-89
CWE-269	CWE-862	CWE-269
CWE-269	CWE-269	CWE-269
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-80	CWE-79	CWE-80
CWE-600	CWE-918	CWE-600
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-269	CWE-272	CWE-269
CWE-400	CWE-667	CWE-667
CWE-400	CWE-667	CWE-400
CWE-306	CWE-284	CWE-306
CWE-113	CWE-434	CWE-434
CWE-119	CWE-120	CWE-120
CWE-628	CWE-787	CWE-787
CWE-80	CWE-79	CWE-80
CWE-434	CWE-434	CWE-434
CWE-918	CWE-918	CWE-918
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-934	CWE-502	CWE-934
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-352	CWE-352	CWE-352
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-352	CWE-352	CWE-352
CWE-502	CWE-502	CWE-502
CWE-116	CWE-1021	CWE-1021
CWE-269	CWE-427	CWE-269
CWE-402	CWE-416	CWE-402
CWE-660	CWE-281	CWE-660
CWE-415	CWE-754	CWE-415
CWE-623	CWE-521	CWE-623
CWE-80	CWE-79	CWE-80
CWE-285	CWE-862	CWE-285
CWE-416	CWE-416	CWE-416
CWE-89	CWE-89	CWE-89
CWE-119	CWE-787	CWE-119
CWE-125	CWE-125	CWE-125
CWE-80	CWE-94	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-345	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-476	CWE-476	CWE-476
CWE-400	CWE-400	CWE-400
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434
CWE-20	CWE-20	CWE-20
CWE-94	CWE-94	CWE-94
CWE-94	CWE-94	CWE-94
CWE-918	CWE-918	CWE-918
CWE-95	CWE-79	CWE-95
CWE-264	CWE-94	CWE-94
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-94	CWE-94	CWE-94
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-306	CWE-89	CWE-306
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-287	CWE-287	CWE-287
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-400	CWE-121	CWE-400
CWE-89	CWE-89	CWE-89
CWE-522	CWE-269	CWE-522
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-89	CWE-94	CWE-89
CWE-400	CWE-400	CWE-400
CWE-94	CWE-94	CWE-94
CWE-502	CWE-913	CWE-502
CWE-94	CWE-94	CWE-94
CWE-190	CWE-195	CWE-190
CWE-328	CWE-338	CWE-328
CWE-122	CWE-122	CWE-122
CWE-121	CWE-121	CWE-121
CWE-119	CWE-125	CWE-119
CWE-122	CWE-121	CWE-122
CWE-120	CWE-120	CWE-120
CWE-119	CWE-120	CWE-119
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-306	CWE-273	CWE-273
CWE-78	CWE-787	CWE-78
CWE-78	CWE-89	CWE-78
CWE-NotFound	CWE-787	CWE-NotFound
CWE-415	CWE-416	CWE-415
CWE-476	CWE-617	CWE-476
CWE-119	CWE-787	CWE-787
CWE-122	CWE-787	CWE-122
CWE-122	CWE-787	CWE-122
CWE-415	CWE-400	CWE-415
CWE-400	CWE-400	CWE-400
CWE-476	CWE-476	CWE-476
CWE-476	CWE-476	CWE-476
CWE-120	CWE-121	CWE-120
CWE-121	CWE-121	CWE-121
CWE-22	CWE-36	CWE-22
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-79	CWE-89	CWE-79
CWE-89	CWE-89	CWE-89
CWE-77	CWE-358	CWE-77
CWE-89	CWE-89	CWE-89
CWE-22	CWE-428	CWE-22
CWE-89	CWE-89	CWE-89
CWE-400	CWE-476	CWE-476
CWE-22	CWE-22	CWE-22
CWE-78	CWE-78	CWE-78
CWE-118	CWE-125	CWE-118
CWE-285	CWE-285	CWE-285
CWE-89	CWE-89	CWE-89
CWE-476	CWE-843	CWE-476
CWE-119	CWE-787	CWE-119
CWE-121	CWE-121	CWE-121
CWE-20	CWE-20	CWE-20
CWE-668	CWE-20	CWE-20
CWE-352	CWE-352	CWE-352
CWE-200	CWE-200	CWE-200
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-432	CWE-290	CWE-432
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-352	CWE-352	CWE-352
CWE-94	CWE-94	CWE-94
CWE-80	CWE-79	CWE-80
CWE-95	CWE-79	CWE-95
CWE-80	CWE-79	CWE-80
CWE-269	CWE-863	CWE-269
CWE-287	CWE-276	CWE-287
CWE-611	CWE-611	CWE-611
CWE-326	CWE-916	CWE-326
CWE-20	CWE-601	CWE-20
CWE-92	CWE-601	CWE-92
CWE-434	CWE-434	CWE-434
CWE-79	CWE-1188	CWE-1188
CWE-78	CWE-77	CWE-78
CWE-78	CWE-77	CWE-77
CWE-78	CWE-77	CWE-78
CWE-400	CWE-400	CWE-400
CWE-384	CWE-287	CWE-384
CWE-346	CWE-613	CWE-346
CWE-89	CWE-89	CWE-89
CWE-18	CWE-22	CWE-18
CWE-20	CWE-434	CWE-20
CWE-1136	CWE-1336	CWE-1136
CWE-440	CWE-74	CWE-440
CWE-20	CWE-78	CWE-78
CWE-80	CWE-79	CWE-80
CWE-284	CWE-613	CWE-284
CWE-122	CWE-127	CWE-122
CWE-22	CWE-24	CWE-22
CWE-311	CWE-311	CWE-311
CWE-312	CWE-311	CWE-312
CWE-200	CWE-497	CWE-200
CWE-522	CWE-612	CWE-612
CWE-471	CWE-434	CWE-471
CWE-79	CWE-79	CWE-79
CWE-362	CWE-349	CWE-362
CWE-79	CWE-80	CWE-79
CWE-22	CWE-24	CWE-22
CWE-79	CWE-87	CWE-79
CWE-18	CWE-20	CWE-20
CWE-284	CWE-295	CWE-284
CWE-235	CWE-862	CWE-862
CWE-200	CWE-200	CWE-200
CWE-264	CWE-200	CWE-264
CWE-238	CWE-200	CWE-238
CWE-822	CWE-416	CWE-822
CWE-422	CWE-434	CWE-422
CWE-284	CWE-863	CWE-284
CWE-20	CWE-20	CWE-20
CWE-89	CWE-89	CWE-89
CWE-1212	CWE-530	CWE-1212
CWE-20	CWE-434	CWE-20
CWE-89	CWE-89	CWE-89
CWE-89	CWE-698	CWE-698
CWE-80	CWE-80	CWE-80
CWE-352	CWE-352	CWE-352
CWE-22	CWE-22	CWE-22
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-287	CWE-287	CWE-287
CWE-78	CWE-698	CWE-78
CWE-80	CWE-79	CWE-80
CWE-78	CWE-698	CWE-78
CWE-914	CWE-835	CWE-914
CWE-611	CWE-1255	CWE-611
CWE-601	CWE-601	CWE-601
CWE-311	CWE-400	CWE-311
CWE-73	CWE-698	CWE-73
CWE-269	CWE-284	CWE-269
CWE-126	CWE-120	CWE-120
CWE-287	CWE-521	CWE-287
CWE-95	CWE-698	CWE-95
CWE-312	CWE-284	CWE-312
CWE-264	CWE-284	CWE-264
CWE-476	CWE-754	CWE-476
CWE-284	CWE-639	CWE-284
CWE-401	CWE-401	CWE-401
CWE-284	CWE-639	CWE-284
CWE-120	CWE-121	CWE-120
CWE-120	CWE-121	CWE-120
CWE-285	CWE-639	CWE-639
CWE-306	CWE-639	CWE-306
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-120	CWE-121	CWE-121
CWE-284	CWE-284	CWE-284
CWE-89	CWE-89	CWE-89
CWE-89	CWE-269	CWE-269
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-92	CWE-434	CWE-92
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-200	CWE-200	CWE-200
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-384	CWE-290	CWE-384
CWE-285	CWE-862	CWE-285
CWE-285	CWE-862	CWE-285
CWE-434	CWE-434	CWE-434
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-285	CWE-862	CWE-285
CWE-285	CWE-862	CWE-285
CWE-434	CWE-434	CWE-434
CWE-352	CWE-352	CWE-352
CWE-400	CWE-918	CWE-400
CWE-80	CWE-79	CWE-80
CWE-522	CWE-200	CWE-522
CWE-434	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-285	CWE-862	CWE-285
CWE-532	CWE-532	CWE-532
CWE-88	CWE-89	CWE-88
CWE-422	CWE-434	CWE-422
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-285	CWE-862	CWE-285
CWE-80	CWE-79	CWE-80
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352
CWE-200	CWE-200	CWE-200
CWE-80	CWE-79	CWE-79
CWE-285	CWE-862	CWE-285
CWE-80	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89
CWE-822	CWE-416	CWE-822
CWE-80	CWE-79	CWE-80
CWE-16	CWE-20	CWE-16
CWE-384	CWE-330	CWE-384
CWE-22	CWE-23	CWE-23
CWE-78	CWE-78	CWE-78
CWE-119	CWE-787	CWE-119
CWE-120	CWE-787	CWE-120
CWE-285	CWE-285	CWE-285
CWE-78	CWE-79	CWE-78
CWE-78	CWE-1288	CWE-78
CWE-362	CWE-61	CWE-362
CWE-426	CWE-61	CWE-426
CWE-259	CWE-613	CWE-259
CWE-78	CWE-78	CWE-78
CWE-284	CWE-732	CWE-732
CWE-319	CWE-532	CWE-319
CWE-221	CWE-276	CWE-221
CWE-532	CWE-532	CWE-532
CWE-80	CWE-79	CWE-80
CWE-319	CWE-319	CWE-319
CWE-280	CWE-269	CWE-269
CWE-284	CWE-284	CWE-284
CWE-327	CWE-327	CWE-327
CWE697	CWE-385	CWE697
CWE-22	CWE-73	CWE-22
CWE-476	CWE-241	CWE-476
CWE-269	CWE-250	CWE-269
CWE-327	CWE-327	CWE-327
CWE-400	CWE-770	CWE-400
CWE-80	CWE-79	CWE-80
CWE-20	CWE-20	CWE-20
CWE-611	CWE-611	CWE-611
CWE-80	CWE-20	CWE-20
CWE-80	CWE-20	CWE-80
CWE-23	CWE-73	CWE-23
