Question	Option A	Option B	Option C	Option D	GT
Which of the following techniques may adversaries use to compromise accounts, rather than creating and cultivating new ones?	Establish Accounts	Phishing for Information	Compromise Accounts	Create C2 Server	C
What is the primary purpose of utilizing an existing persona in an operation incorporating social engineering?	To gather credentials	To engender trust in a potential victim	To conduct reconnaissance	To leverage compromised email accounts	B
Which of the following methods may adversaries use to compromise accounts, in addition to gathering credentials via Phishing for Information and purchasing credentials from third-party sites?	Brute force attacks	Password reuse from breach credential dumps	Paying employees or suppliers	Conducting Spearphishing	B
What is the primary purpose of conducting reconnaissance prior to compromising accounts, as mentioned in the text?	To inform decisions about which accounts to compromise	To gather credentials	To develop social networks	To leverage compromised email accounts	A
Which of the following might adversaries need to do after compromising an account to further develop it?	Brute force attack the account	Modify their online persona	Fill out or modify profile information	Conduct reconnaissance	C
What is the primary purpose of the Windows Script engine, according to the provided text?	Interpreting JScript and enabling integration with Windows components	Compiling JScript into executable files	Executing JavaScript outside the browser	Scripting language development for macOS	A
What is the name of the framework used to compile and execute JavaScript scripts in memory of other programs, as mentioned in the provided text?	OSAKit Framework	Windows Script engine	JScript	OSA Architecture	A
According to the provided text, what is one way adversaries may abuse implementations of JavaScript?	As part of a Man-in-the-Middle attack	By hosting malicious scripts on websites as part of a Drive-by Compromise	By using the AppleScript language	By compiling JavaScript into executable files	B
Which scripting language is part of Apple's Open Scripting Architecture (OSA) and is based on JavaScript, according to the provided text?	JXA	JScript	AppleScript	OSA	A
"What is the significance of the timestamp ""OSX 10.10"" in the provided text?"	It marks the introduction of JScript	It marks the introduction of AppleScript	It marks the introduction of JXA	It marks the introduction of Obfuscated Files or Information	C
Adversaries may leverage which platform to register for web services that can be used during targeting?	Mobile	Enterprise	ICS	Cloud	B
What is the primary advantage of adversaries utilizing a web service during the Command and Control (C2) phase?	Improved encryption	Enhanced threat hunting capabilities	Increased difficulty in tracing back operations to the adversary	Reduced latency	C
Which MITRE ATT&CK pattern technique is demonstrated when adversaries use a web service to exfiltrate data?	T1190 (Auto-Generated Files from Compromise)	T1020 (Software Deployment)	T1046 (Exfiltration Over Web Service)	T1497 (Disposal Using Wide-Area Network)	C
What is a benefit of adversaries using common web services, such as those offered by Google or Twitter, during web-based attacks?	Simplified incident response	Easier attribution	Concealment in expected noise	More reliable persistence	C
What is the intended outcome of adversaries utilizing a web service to make it difficult to physically tie back operations to them?	Improved system hardening	Enhanced threat intelligence sharing	Increased attack surface	Operational covertness	D
What is a common technique used by adversaries to collect data from permission-backed data stores on a device?	T1037.001 - Boot or Logon Script	T1114 - Access Token Manipulation	T1080 - System Network Configuration Discovery	T1115 - Insufficient Cryptogram Limitation	D
An adversary uses an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure. What type of content is posted on these Web services?	Stolen credentials	Dead drop resolver	Malware binaries	Social engineering lures	B
The dead drop resolver may be embedded with (and often obfuscated or encoded) which of the following?	IP addresses	Domains or URLs	Cryptographic keys	User credentials	B
Which of the following platforms is often used by adversaries to hide in expected noise and make it easier to blend in with normal network traffic?	Mobile Platform	ICS System	Enterprise Network	Cloud Infrastructure	C
Why may the use of a dead drop resolver protect back-end C2 infrastructure?	By preventing communication with the C2 infrastructure	By making it difficult to detect through malware binary analysis	By reducing the infrastructure's operational resiliency	By increasing the risk of takedowns	B
What type of encryption is often used by Web service providers, giving adversaries an added level of protection?	SSL/TLS encryption	RSA encryption	AES encryption	Hashing	A
MITRE ATT&CK actors may use non-standard port numbers to evade detection. What technique is this an example of, as described in the Enterprise Tactics section?	T1005 - Data from Local System	T1573 - Command and Control - Non-Standard Port	T1071 - Application Access - Remote Access	T1046 - System Network Connections Discovery	B
What is the primary reason why adversaries may change the standard port used by a protocol, according to the given text?	To upgrade the protocol version	To redirect traffic to a proxy	To bypass filtering or muddle analysis/parsing of network data	To create a new protocol variant	C
What technique is described as a method used by adversaries to avoid detection by network filtering, according to the given text?	T1078 - Account Discovery	T1046 - System Network Connections Discovery	T1573 - Command and Control - Non-Standard Port	T1087 - Account Management	C
According to the given text, what protocol-subprotocol pairing is given as an example of non-standard usage?	HTTP over port 80	HTTPS over port 8088	FTP over port 20	SSH over port 22	B
What is the result of an adversary making changes to the standard port used by a protocol, as described in the given text?	Enhanced network visibility	Improved protocol security	Filtered or parsed network data	Increased network latency	C
What cloud-based functionality may allow for administrative access across all major services in a tenant?	Cloud-based web shells	Cloud-based CLI and PowerShell functionality	Cloud-based software developer kits (SDKs)	Cloud-based application access tokens	B
Adversaries may abuse cloud APIs to execute malicious commands. Which of the following methods may be used to access cloud APIs?	Only through software developer kits (SDKs)	Through command line interpreters (CLIs), in-browser Cloud Shells, PowerShell modules, or software developer kits (SDKs)	Only through on-premises hosts	Only through cloud-hosted hosts	B
According to MITRE ATT&CK (T1210), what technique may be used to access the impacted cloud API?	T1210.001 - Exploitation of Remote Service	T1210.002 - Exploitation of Public-Facing Application	T1210.003 - Cloud API Misuse	T1210.004 - API Key and Flag Misuse	C
Which cloud platforms may offer browser-based cloud shells?	Only AWS	Only Azure	Only Google Cloud Platform (GCP)	AWS, Azure, and GCP	D
What type of credentials may be used to access cloud APIs?	Only Application Access Token	Only Web Session Cookie	Both Application Access Token and Web Session Cookie	Neither Application Access Token nor Web Session Cookie	C
What is a potential advantage of using serverless cloud infrastructure for adversaries?	Enhanced data encryption	Increased attribution to their infrastructure	Making it more challenging to trace back to their command and control server	Reduced latency in communication	C
What method can adversaries use to execute malicious code and payloads on network devices?	Using a web-based interface with a stored XSS vulnerability	Abusing a scripting or built-in command-line interpreter (CLI) on the network device	Exploiting a buffer overflow vulnerability in a network service	Brute-forcing a password using a password-cracking tool	B
Which of the following is a typical use case for scripting interpreters on network devices?	Managing device configurations and setting parameters	Extending the device's capabilities for advanced threat detection	Automating routine tasks and extending the device's functionality	Implementing custom device hardening policies	C
Adversaries can use the CLI to manipulate network devices in what ways?	Only by modifying device firmware	Only by executing malicious code	By changing device behavior, modifying traffic flows, and disabling security features	By performing only routine network maintenance tasks	C
How can an adversary access the CLI and scripting interpreter on a network device?	Only through a direct console connection	Only through remote means, such as telnet or SSH	Through both direct console connection and remote means	Through neither direct console connection nor remote means	C
What is one way an adversary can use the CLI on a network device to avoid detection?	By encrypting system logs	By disabling security features or logging	By implementing advanced threat hunting techniques	By configuring Network Access Control (NAC)	B
Adversaries may use the Call Log Content Provider on Android to gather what type of data?	SMS records	Call log data	Device location data	Contact list data	B
Which mobile operating system provides a standard API to access the call log?	Android	iOS	Windows Phone	BlackBerry	A
An adversary may access the Call Log on an iOS device without the user's knowledge or approval if the device has been?	Jailbroken	Rooted	Disabled	Updated	A
What would be a potential indicator of compromise (IoC) for an adversary accessing the call log on a mobile device?	A new contact in the device's address book	A suspicious SMS or MMS message	Unexpected network activity or data transfer	A changed lock screen pattern	C
Which Android feature allows background applications to capture screen contents being displayed by a foreground application without requiring user consent?	Android MediaProjectionManager	Android Accessibility Services	Android Screen Capture API	Android Debug Bridge (adb) access	B
What is the primary purpose of using screen capture as an adversarial technique?	To gather system configuration information	To obtain sensitive user data	To collect additional information about a target device	To remotely control the device	C
What level of access is required for an adversary to use the Android screencap or screenrecord command to capture screen contents?	Superuser privileges	Root access or Android Debug Bridge (adb) access	Device administrator privileges	Guest user account	B
What is the primary use of the Android MediaProjectionManager?	To capture screen contents in the background	To capture screenshots or videos of application screens	To record audio and video on an Android device	To access device storage	B
In the context of Android, what term refers to the process of displaying the screen contents of one application to another application?	Screen mirroring	Screen sharing	Screen projection	Screen sharing with Android Accessibility Services	C
What is the primary purpose of the ptrace system call, according to the text?	To inject malicious code into a process	To observe and control a running process	To change the memory values of a separate process	To allocate memory for a running process	B
According to MITRE ATT&CK T1063 (Reflective File Delivery), what is the primary method used to deliver malware through ptrace system call injection?	PTRACE_SETREGS to set the register containing the next instruction to execute	PTRACE_POKETEXT / PTRACE_POKEDATA to copy data to a specific address in the target process's memory	Writing arbitrary code into a running process using malloc	Attaching to and modifying a running process	C
Ptrace system call injection may not be possible when targeting which types of processes?	Low-privilege child processes	High-privilege child processes	Non-child processes	Processes with medium privileges	C
What can ptrace system call injection potentially allow an attacker to access?	Process memory and system resources	Process memory and network resources	System memory and network resources	Process memory, system resources, and elevated privileges	D
According to the text, what is one potential advantage of using ptrace system call injection?	It is easily detectable by security products	It is not possible to evade detection from security products	It is masked under a legitimate process	It requires no expertise in process manipulation	C
What is an example of a specific type of phishing attack, tailored for a particular individual or organization?	Phishing	Spearphishing	Smishing	Vishing	B
Which of the following vectors can be used by adversaries to execute phishing attempts on mobile devices?	Only SMS messages and phone calls	Only QR codes and emails	All of the above (SMS messages, phone calls, QR codes, and emails)	Only emails and emails with attachments	C
What is an outcome that adversaries may aim to achieve through phishing attacks on mobile devices?	Compromising a nearby computer	Obtaining sensitive information from the device	Executing malicious code on the device	Deleting sensitive data from the device	B
Which MITRE ATT&CK technique is used by adversaries to pose as a trusted source during phishing attacks?	T1190 - Exploitation of Remote Services	TA1530 - Lateral Movement	T1534 - Keying	T1566 - Phishing	D
Why are mobile devices particularly attractive targets for adversaries executing phishing campaigns?	Because they are harder to notice malware on	Because they have smaller form factor than traditional desktop endpoints	Because they have additional sensors and radios that allow for multi-vector attacks	Because they are easier to compromise than desktop computers	C
In the context of cyber threat intelligence, what is the primary purpose of steganography techniques used by adversaries?	To increase the size of hidden data	To prevent the detection of hidden information	To encrypt hidden data	To compress hidden data	B
What is the primary reason an adversary might use the Android Native Development Kit (NDK)?	To write native functions for a mobile app	To execute malicious code more easily for later analysis	To achieve execution of binaries or functions at a lower level than normal Android SDK calls	To avoid using Java for app development	C
Adversaries may manipulate products or product delivery mechanisms at which stage of the supply chain for data or system compromise?	During the manipulation of open-source dependencies	Prior to receipt by a final consumer	During the production of software update/distribution mechanisms	During the sales of modified/counterfeit products to legitimate distributors	B
In the context of hooking, what is the typical goal of modifying return values or data structures of system APIs and function calls?	To create a backdoor for further exploitation	To hide the presence of artifacts associated with adversary behaviors	To create a temporary debugging interface	To improve system performance	B
Which of the following is NOT a typical method for gaining the necessary system exploit to use 3rd party root frameworks for hooking?	Using a system exploit or pre-existing root access	Using a system vulnerability	Using a social engineering attack	Using a man-in-the-middle attack	C
What is one of the ways adversaries can include custom modules for root frameworks to achieve hooking?	By using a system exploit or pre-existing root access	By implementing a custom kernel module	By integrating with existing system libraries	By including custom modules for root frameworks	D
According to MITRE ATT&CK technique T1546.006, what is an example of a method adversaries may use to hide the presence of artifacts associated with their behaviors?	Masquerading	Component Filtering	Hooking	Code Signing	C
What is the primary purpose of using root frameworks like Xposed or Magisk for hooking?	For additional system security features	To monitor system APIs and function calls	To hide the presence of artifacts associated with adversary behaviors	To achieve persistent access to the system	C
When querying the WiFiInfo API on an Android device, what permission is required to obtain information about nearby Wi-Fi networks?	WRITE_EXTERNAL_STORAGE	ACCESS_FINE_LOCATION	READ_CONTACTS	MODIFY_PHONE_STATE	B
On Android, which API is used to gather Bluetooth information about nearby devices?	BluetoothAdapter	WifiInfo	TelephonyManager	PackageManager	A
Which method can an Android application use to gather information about nearby cellular towers on devices with Android versions prior to Q?	TelephonyManager.getAllCellInfo()	TelephonyManager.getNeighboringCellInfo()	WifiInfo.getAvailableNetworks()	BluetoothAdapter.getDevices()	B
According to the text, what is the purpose of querying device APIs to gather network connection information on a compromised device?	To detect and alert on suspicious network activity	To gather data on nearby networks for future use	To perform network reconnaissance on the compromised device	To obtain information about the device's current network connection	C
What is the name of the MITRE ATT&CK technique being used in the described scenario?	T1577 - Network Data Collect	T1575 - Lateral Movement	T1210 - Exploitation of Remote Services	T1495 - System Network Configuration Discovery	A
What is the primary method described in the text for adversaries to access sensitive data prior to exfiltration?	Remote command execution	Searching local system sources	Exploiting vulnerabilities in network services	Creating a reverse shell	B
According to the text, what type of privileges are typically required to access local system data?	Low-level privileges	Normal user privileges	Escalated privileges	Shared system administration privileges	C
What is an example of local system data that is mentioned in the text as potentially being accessed by an adversary?	Credit card numbers	Authentication tokens	Social media passwords	Network configuration files	B
Which platform is specifically mentioned as potentially requiring additional storage-related permissions for an adversary to access files from external storage?	Enterprise	ICS	Android	Mobile	C
What is the purpose of an adversary searching local system sources for files of interest and sensitive data prior to exfiltration?	To cover their tracks	To set up a backdoor	To gather additional reconnaissance	To prepare for exfiltration	D
What is the primary objective of encrypting files on a mobile device, as described in the text?	To extract sensitive information from the device	To demand financial compensation in exchange for decryption or a decryption key (ransomware)	To gain unauthorized access to the device's operating system	To destroy data permanently and make it unrecoverable	B
What is the potential consequence of not saving or transmitting the decryption key after encrypting files on a mobile device?	The decryption process is accelerated	The files remain accessible without decryption	The data remains permanently inaccessible	The encryption algorithm is compromised	C
What is a possible scenario where an adversary may encrypt files on a mobile device, as mentioned in the text?	During a public Wi-Fi connection	When extracting sensitive information manually	To demand financial compensation in exchange for decryption or a decryption key (ransomware)	When gaining unauthorized access to the device's operating system	C
Which MITRE ATT&CK pattern technique might be used to achieve file encryption on a mobile device?	T1004 - Authentication Bypass using Stealing Session Cookie	T1086 - Insufficient Verification of Well-Formed Data (Ransomware)	T1055 - Network Sniffing	T1083 - File and Directory Discovery	B
Why might an adversary choose to encrypt files on a mobile device, as suggested in the text?	To gain access to a secure network	To remain undetected while exfiltrating data	To make financial profit through ransomware	To gain control over the device's camera	C
What is a common method for Adversaries to gain initial access to a mobile device, as described in the text?	By exploiting a network-based vulnerability	Through a vulnerability in the mobile operating system	Utilizing a zero-click exploit	By cracking the device's password	C
What is the primary goal of a watering hole attack, as described in the provided text?	To compromise a specific user or set of users based on a shared interest.	To compromise a specific operating system or software version.	To deliver a targeted payload to a particular geographic region.	To spread malware to all users visiting a compromised website.	A
According to the provided text, what is an example of compromised content that can be used to deliver exploit code to a browser?	JavaScript code injected into a legitimate website.	Malware served through legitimate ad providers.	Iframes inserted into a website's code.	All of the above.	D
What kind of protections can prevent code execution on a user's system after a successful exploitation?	Configuring the browser to run in incognito mode.	Disabling JavaScript and plugin execution.	Implementing anti-virus software and firewalls.	Installing security patches for browser and plugins.	D
Which of the following is an example of a delivery method for malicious code to a browser?	Built-in web application interfaces used for inserting malicious objects.	Malicious ads served through legitimate ad providers.	Compromised websites injecting malicious JavaScript code.	All of the above.	D
According to the provided text, what is the typical process of a drive-by compromise?	The user clicks on a malicious link, which downloads the exploit code.	The user visits a compromised website, which executes scripts to search for vulnerable browser versions.	The user receives a phishing email with a malicious attachment.	The user installs a vulnerable plugin, which allows code execution.	B
What is an example of a technique an adversary could use to evade detection by mobile security products?	Using a public key infrastructure for authentication	"Naming a ""su"" binary something else to avoid detection"	Implementing a real-time application firewall	Conducting a vulnerability scan of the system	B
What type of code could an adversary use to evade signature-based detection?	Steganographic code	Polymorphic code	Encrypted code	Obfuscated code	B
What is the motivation behind an adversary using knowledge of security software techniques?	To improve security posture	To evade detection	To detect unknown threats	To implement incident response	B
Which technique can be used by mobile security products to detect compromised devices?	Root cause analysis	Compromised device detection	Network segmentation	Log aggregation	B
What type of detection could be evaded by an adversary using polymorphic code?	Reputation-based detection	Anomaly-based detection	Signature-based detection	Honeypot-based detection	C
What is a common technique used by an adversary to inhibit user interaction and lock them out of the device?	Requesting device administrator permissions and then locking the screen using `DevicePolicyManager.lockNow()`	Showing a persistent overlay	"Using a carefully crafted ""call"" notification screen"	Locking HTML pages in the foreground	A
Which technique is typically required to uninstall malware that has locked the user out of the device?	Boiling the device	Booting the device into safe mode	Using a disk cleanup tool	Running a virus scan	B
Prior to Android 7, who was able to reset the device lock passcode?	Device administrators	Device owners	Profile owners	System administrators	A
What is a novel technique observed in locking the user out of the device on Android devices?	Locking the screen using `DevicePolicyManager.lockNow()`	Showing a persistent overlay	"Using carefully crafted ""call"" notification screens"	All of the above	D
What change was introduced in Android 7 regarding device lock passcode resetting?	Device administrators can still reset the device lock passcode	Only device or profile owners can reset the device’s passcode	The device lock passcode cannot be reset	The device passcode is now case-sensitive	B
Adversaries may use the pm uninstall command to disrupt the availability of which type of applications?	System apps	Non-system apps	Kernel modules	Network protocols	B
What is the purpose of responding to LLMNR/NBT-NS network traffic by an adversary?	To conduct a man-in-the-middle attack on the victim's network	To spoof an authoritative source for name resolution and force communication with an adversary-controlled system	To gather system information about the victim's network	To conduct a network enumeration on the victim's network	B
What Microsoft Windows component allows hosts on the same local link to perform name resolution for other hosts?	Domain Name System (DNS)	Link-Local Multicast Name Resolution (LLMNR)	NetBIOS Name Service (NBT-NS)	Kerberos	B
What is the purpose of relaying NTLMv1/v2 hashes?	To collect the hashes for offline cracking	To expand and use multiple services with the valid NTLM response	To authenticate to an adversary-controlled system	To conduct a system compromise	B
Which tool may be used to poison name services within local networks?	Nmap	IDA Pro	Responder	Wireshark	C
What MITRE ATT&CK pattern technique is demonstrated by responding to LLMNR/NBT-NS traffic and spoofing an authoritative source for name resolution?	T1137 - Network Name Resolution	T1071 - Application Window Management	T1568 - Dynamic Resolution	T1035 - Network Share Discovery	A
MITRE ATT&CK technique T1008 is used for what purpose by an adversary?	Disabling security tools to avoid detection	Lateral movement to gain access to sensitive data	Installing backdoors to maintain persistence	Exfiltrating sensitive information	A
What is a common method used by an adversary to disable security tools, as described in the text?	Exploiting vulnerabilities in the operating system	Modifying SELinux configuration	Disabling device administrator permissions	Implementing encryption on sensitive files	B
What is the primary purpose of disabling security tools, as described in the text?	To gather intelligence from the victims' network	To evade detection and maintain stealth	To disrupt the victim's business operations	To plant malware on the device	B
According to the text, what is one way an adversary might gain root access to a device?	By exploiting a vulnerability in the security software	By using a system exploit to gain access	By implementing multi-factor authentication	By using a phishing email to trick an employee	B
What is an example of a method used by an adversary to modify protected system files, as described in the text?	Modifying the Windows registry	Disabling security software	Using system exploits to gain root access	Implementing access control lists	C
What is a typical goal of File and Directory Discovery on Android devices?	To gain access to sensitive data without escalating privileges	To perform automated discovery to shape follow-on behaviors	To bypass Linux file permissions and SELinux policies	To compromise the device's security architecture	B
Which platform can an adversary gather onboard network interface details through the java.net.NetworkInterface class?	Enterprise	Mobile	ICS	Unspecified	B
According to the Android guidelines, which type of applications can access telephony-related device identifiers (such as IMSI, IMEI, and phone number) on Android 10 or later?	All pre-installed applications	Carrier and default SMS applications	Carrier, default SMS, or device and profile owner applications	Only device owner applications	C
What is the primary purpose of an adversary using System Network Configuration Discovery information during automated discovery?	To disable network connectivity	To compromise a specific device	To shape follow-on behaviors and determine network access	To execute a man-in-the-middle attack	C
Which Android class, previously used for gathering telephony-related device identifiers, can no longer be accessed by third-party apps on Android 10 or later?	NetworkInterface	TelephonyManager	Java.Lang	Android.Util	B
What is a characteristic of gathering network configuration information on iOS without root access?	It is possible to gather information with a single command	It is possible to gather information using a custom app	It is not possible without root access	It requires Java knowledge	C
When using brute-forcing and crawling techniques to probe infrastructure, what is the primary goal of adversaries?	Discovery of valid credentials	Identification of content and infrastructure	Elicitation of sensitive information	Establishing a backdoor connection	B
What type of wordlists may be used in scans to identify content and infrastructure?	Lists of common vulnerabilities	Lists of generic names and file extensions	Lists of commonly used passwords	Lists of network protocols	B
Adversaries may create custom wordlists using data gathered from which of the following Reconnaissance techniques?	Network Scanning	System Information Gathering	Search Victim-Owned Websites	Social Engineering Techniques	C
When using tools such as Dirb, DirBuster, and GoBuster to enumerate a website's pages and directories, what could adversaries discover?	Valid login credentials	Old, vulnerable pages or hidden administrative portals	Sensitive database information	Cryptographic keys	B
To access valuable information in cloud storage solutions, adversaries may leverage what technique?	Data from Cloud Storage	Credential Dumping	Brute Force	SQL Injection	A
What is the primary objective of Masquerading in cyber-attacks, as described in the text?	To compromise user credentials	To evade detection by security tools and users	To spread malware through social engineering	To disrupt network communication	B
Which of the following techniques is an example of Masquerading, as described in the text?	(T1027) Software Discovery	(T1098) Audio Capture	(T1005) Input Capture	(T1036) Masquerading	D
According to the text, what is an example of Masquerading?	Renaming a malicious file to a legitimate name	Manipulating file metadata to appear legitimate	Tricking users into misidentifying a file type	All of the above	D
What is a secondary purpose of Masquerading, according to the text?	To spread malware through email attachments	To evade security monitoring by renaming system utilities	To make malware appear harmless	To create backdoors on compromised systems	B
Which platform is most relevant for Masquerading, as described in the text?	Enterprise	ICS	Mobile	Not specified	A
What is an example of how an adversary can exploit software vulnerabilities to elevate privileges?	Through exploitation of a web application vulnerability using the T1110 technique	By using a software vulnerability in an operating system component	By exploiting a vulnerability in a lower-privileged process	Through exploitation of a hardware vulnerability	B
What type of security construction may hinder an adversary's access to information or use of certain techniques?	Authentication mechanisms	Permission levels	Firewall rules	Encryption protocols	B
What is a potential outcome of exploiting a software vulnerability in an operating system component or application?	The adversary gains access to lower levels of privilege	The adversary is unable to access certain resources on the system	The adversary gains higher levels of access on the system	The system becomes unable to function	C
Why might an adversary need to perform privilege escalation?	To obtain higher levels of access on the system	To circumvent security constructions	To elevate permissions without exploiting a software vulnerability	To move from a higher-privileged process to a lower-privileged process	B
What type of vulnerability may an adversary exploit to move from an unprivileged or user-level permission to root permissions?	Software vulnerability in a network service	Hardware vulnerability in a storage device	Software vulnerability in an operating system component	Service vulnerability in a web server	C
What is an example of a system mechanism that adversaries may use to establish persistence on a mobile device?	DNS resolver cache poisoning	Event trigger hooks (T1078.004 - Scheduled Job)	Vulnerability exploit	Social engineering attack	B
What is the purpose of creating or modifying event triggers on a compromised mobile device?	To send suspicious network traffic to a C2 server	To detect and alert on anomalies in system logs	To execute malicious code automatically whenever a specific event occurs	To establish a reverse shell for command and control communications	C
What platform is the text discussing with regards to event trigger hooks?	Enterprise	ICS	Mobile	Networking	C
How may adversaries abuse event trigger hooks to maintain persistent access to a victim's system?	By creating a never-ending loop of suspicious network traffic	By executing malicious code automatically and repeatedly in response to specific device activities	By sending sensitive information to a command and control server	By bypassing endpoint detection and response systems	B
What technique is being described in the text as a means of establishing persistence on a mobile device?	T1078 - Software Deployment	T1078.004 - Scheduled Job	T1143 - Dynamic DNS	T1190 - Exploit Public-Facing Application	B
What is one way adversaries may manipulate application software before it reaches the final consumer?	Malware insertion through vulnerabilities	Tampering with the software update mechanism	Compromising the source code repository	Customizing the software for specific operational requirements	B
Which of the following is an example of supply chain compromise of software?	Developing a patch for a known vulnerability	Releasing a new version of the software with enhanced features	Replacing compiled releases with a modified version	Conducting regular security testing and vulnerability assessments	C
What is a potential target of supply chain compromise of software?	User credentials	System configuration files	Data or system compromise	Network protocols	C
According to the text, which of the following is a potential mechanism for supply chain compromise of software?	Tampering with the software package installation process	Manipulating the application source code	Injecting malware through vulnerable dependencies	Phishing attacks on software developers	B
What is the potential purpose of supply chain compromise of software, according to the text?	To steal sensitive data	To conduct espionage	To compromise systems or data	To evade detection	C
Against an Enterprise platform, an adversary might target an application's dependency on an open-source project to inject malicious code. What type of activity does this scenario illustrate?	T1105 - DLL Sideloading	T1190 - Exploit Public-Facing Application	T1562 - Impaired System Resource Utilization	T1562.001 - Inhibit System Resource Windows	C
The text suggests that adversaries may compromise systems by manipulating products before they reach the final consumer. Which MITRE ATT&CK technique ID represents this tactic?	T1039 - Data from Debris	T1078 - Account Discovery	T1204 - Exploitation of Remote Services	T1059 - Command and Scripting Interpter	D
What is the intended outcome when an adversary targets popular open-source projects used as dependencies in many applications?	Drive-By Download	Unauthorized Access	Code Injection	Evasive Maneuvers	C
The text mentions that adversaries may manipulate products or product delivery mechanisms. What is an example of a product delivery mechanism that might be manipulated?	Supply Chain	VPN	Software Update	Network Protocol	A
According to the text, what is a common method for adversaries to add malicious code to users of a dependency?	Malware Encoded as Image	Exploitation of Use-After-Free	Code Injection into Dependency	Spear Phishing	C
What is the primary purpose of SSL Pinning?	To ensure that only trusted Certificate Authorities (CAs) sign server certificates	To protect C2 traffic from being intercepted and analyzed	To improve the security of SSL/TLS connections by limiting the trusted certificate store	To verify the authenticity of a server's public key	B
Which type of SSL Pinning approach compares the server's certificate with a stored copy of the certificate received during the SSL handshake?	Public Key Pinning	Certificate Pinning	Hybrid Pinning	SSL Trust Pinning	B
What is the benefit of using Public Key Pinning as opposed to Certificate Pinning?	It allows for more flexible certificate renewal	It provides better truststore management	It increases the encryption strength	It simplifies the SSL/TLS validation process	A
According to the text, what can indicate device compromise, traffic interception, or another upstream issue when SSL Pinning is implemented?	Presenting an invalid SSL/TLS certificate	Validating an SSL/TLS certificate signed by a trusted CA	Receiving a certificate that is not pinned	Establishing a connection with a server using HTTP instead of HTTPS	C
Which of the following is NOT a feature of Certificate Pinning?	Verifying the authenticity of the server's public key	Comparing the server's certificate with a stored copy	Allowing self-signed certificates	Renewing the server's certificate without updating the pinned certificate	D
What is the primary objective of an adversary exploiting features of common networking protocols to position themselves between two or more networked devices?	To conduct network reconnaissance	To establish an Adversary-in-the-Middle (AiTM) position	To initiate a Man-in-the-Browser attack	To perform a Buffer Overflow attack	B
Which of the following is an example of a malicious activity that an adversary may perform by manipulating DNS settings through an AiTM position?	Preventing users from accessing legitimate sites	Pushing additional malware	Both A and B	Neither A nor B	C
